max_growth,k_val,MDF
0.0,0.1457,0.01
6.308491409115912e-14,0.14575,0.01
0.6930966574383454,0.1458,0.01
0.7173912279105163,0.14585,0.01
0.7173912279105163,0.1459,0.01
0.7173912279105192,0.14595,0.01
0.7173912279105285,0.146,0.01
0.7504200082712953,0.14605,0.01
0.8026611378929062,0.1461,0.01
0.8044672587887419,0.14615,0.01
0.8044672587886608,0.1462,0.01
0.8044672587886504,0.14625,0.01
0.804467258788413,0.1463,0.01
0.818064071794893,0.14635,0.01
0.8188311335181588,0.1464,0.01
0.8188311335181702,0.14645,0.01
0.8230184175847884,0.1465,0.01
0.8230184175848057,0.14655,0.01
0.8248554973792389,0.1466,0.01
0.8411871675271344,0.14665,0.01
0.8459832351361788,0.1467,0.01
0.8477741993892348,0.14675,0.01
0.8477741993892394,0.1468,0.01
0.847774199389234,0.14685,0.01
0.847774199389234,0.1469,0.01
0.8477741993892309,0.14695,0.01
0.8477741993892468,0.147,0.01
0.8477244091288547,0.14705,0.01
0.847774199389234,0.1471,0.01
0.8477741993892358,0.14715,0.01
0.847776274110339,0.1472,0.01
0.8477742055547973,0.14725,0.01
0.847776274110339,0.1473,0.01
0.8477741993892352,0.14735,0.01
0.8477742055548015,0.1474,0.01
0.8477741993892309,0.14745,0.01
0.8477762802759391,0.1475,0.01
0.8478993913801097,0.14755,0.01
0.8478993913801067,0.1476,0.01
0.8478993913801054,0.14765,0.01
0.8478993913801071,0.1477,0.01
0.8478993913801081,0.14775,0.01
0.8478993913801073,0.1478,0.01
0.8478993913801106,0.14785,0.01
0.8478993913801061,0.1479,0.01
0.8479014667140149,0.14795,0.01
0.8494862354734156,0.148,0.01
0.8494862354734076,0.14805,0.01
0.8494862354734249,0.1481,0.01
0.8494862354734041,0.14815,0.01
0.8494862354734034,0.1482,0.01
0.8494862354734165,0.14825,0.01
0.8494883185825843,0.1483,0.01
0.8517320044884444,0.14835,0.01
0.8593109530446768,0.1484,0.01
0.863627338143211,0.14845,0.01
0.8636273381432108,0.1485,0.01
0.8636273381432094,0.14855,0.01
0.8636273381432116,0.1486,0.01
0.8654938697270887,0.14865,0.01
0.8654938697270945,0.1487,0.01
0.8654938697270769,0.14875,0.01
0.8654938697270964,0.1488,0.01
0.8654938697270955,0.14885,0.01
0.8654938697271101,0.1489,0.01
0.8654960320838533,0.14895,0.01
0.8654960320838767,0.149,0.01
0.865493869727089,0.14905,0.01
0.8654938697270934,0.1491,0.01
0.8654938697270835,0.14915,0.01
0.8654938697270986,0.1492,0.01
0.8654960320838492,0.14925,0.01
0.8654960320838606,0.1493,0.01
0.8654938697271093,0.14935,0.01
0.8654960385098847,0.1494,0.01
0.8654960320838614,0.14945,0.01
0.865493869727095,0.1495,0.01
0.8654960320838606,0.14955,0.01
0.8654960320838532,0.1496,0.01
